name;bestcore;mameversion
"dyger";lr-fbalpha;
"dynablst";lr-fbalpha;
"dynagear";lr-fbalpha;
"dynamski";lr-mame;
"dyndukeu";lr-fbalpha;
"dynwar";lr-fbalpha;
"eaglshot";lr-fbalpha;
"earthjkr";lr-fbalpha;
"ebases";lr-mame;
"ecofghtru";lr-fbalpha;
"edfu";lr-fbalpha;
"edrandy";lr-mame;2003
"eeekk";lr-fbalpha;
"egghunt";lr-fbalpha;
"eggor";lr-fbalpha;
"ehrgeiz";lr-mame;
"eightfrc";lr-fbalpha;
"einnings";lr-mame;
"ejihon";lr-mame;
"elecyoyo";lr-mame;
"elevator";lr-mame;
"elim2";adv-mame;
"elvactr";lr-fbalpha;
"embargo";lr-mame;
"emeralda";lr-mame;
"empcity";lr-mame;
"enduror";lr-fbalpha;
"enforce";lr-fbalpha;
"enigma2";lr-mame;
"eprom";lr-mame;
"equites";lr-mame;
"esb";adv-mame;
"esckids";lr-fbalpha;
"espgal";lr-fbalpha;
"espial";lr-mame;
"esprade";lr-fbalpha;
"eswatu";lr-fbalpha;
"eto";lr-fbalpha;
"euroch92";lr-fbalpha;
"evilston";lr-fbalpha;
"excelsr";lr-fbalpha;
"excitebk";lr-mame;
"exctleag";lr-fbalpha;
"exctsccr";lr-mame;
"exedexes";lr-fbalpha;
"exerion";lr-mame;
"explbrkr";lr-fbalpha;
"exprraid";lr-mame;
"extdwnhl";lr-fbalpha;
"extrmatnu";lr-fbalpha;
"exvania";lr-mame;
"exzisus";lr-fbalpha;
"eyes";lr-fbalpha;
"f1dreamba";lr-fbalpha;
"f1en";lr-mame;
"f1gp";lr-fbalpha;
"f1gp2";lr-fbalpha;
"f1gpstar";lr-mame;
"faceoff";lr-fbalpha;
"fantasia";lr-fbalpha;
"fantastc";lr-fbalpha;
"fantland";lr-fbalpha;
"fantsia2";lr-fbalpha;
"fantzn2x";lr-fbalpha;
"fantzone";lr-fbalpha;
"fastlane";lr-mame;
"fball";lr-fbalpha;
"feversos";lr-fbalpha;
"ffightu";lr-fbalpha;
"fghtatck";lr-mame;
"fghtbskt";lr-fbalpha;
"fgtlayer";lr-mame;
"fhawk";lr-fbalpha;
"fieldday";lr-mame;
"fightrol";lr-fbalpha;
"finalbu";lr-fbalpha;
"finalizr";lr-fbalpha;
"finallap";lr-mame;
"finalttr";lr-fbalpha;
"finehour";lr-fbalpha;
"firebatl";lr-mame;
"fireone";lr-mame;
"fireshrk";lr-fbalpha;
"firetrap";lr-fbalpha;
"fitegolfu";lr-fbalpha;
"fitfight";lr-mame;
"fixeightu";lr-fbalpha;
"flagrall";lr-fbalpha;
"flashgal";lr-fbalpha;
"flicky";lr-fbalpha;
"flower";lr-mame;
"flstory";lr-fbalpha;
"flyball";lr-mame;
"flyboy";lr-fbalpha;
"flytiger";lr-fbalpha;
"fncywld";lr-fbalpha;
"fnkyfish";lr-fbalpha;
"foodf";lr-mame;
"footchmp";lr-fbalpha;
"forgottnu";lr-fbalpha;
"formatz";lr-fbalpha;
"fourtrax";lr-mame;
"fpoint";lr-fbalpha;
"freekick";lr-fbalpha;
"freeze";lr-fbalpha;
"friskyt";lr-fbalpha;
"frogger";lr-fbalpha;
"frogs";lr-mame;
"frontlin";lr-mame;
"fround";lr-fbalpha;
"fshark";lr-fbalpha;
"fsoccer";lr-fbalpha;
"fstarfrc";lr-fbalpha;
"ftsoccer";lr-mame;
"funkybee";lr-fbalpha;
"funkyjet";lr-fbalpha;
"funnymou";lr-mame;
"funybubl";lr-fbalpha;
"futspy";lr-fbalpha;
"ga2";lr-mame;
"gaia";lr-fbalpha;
"gaialast";lr-fbalpha;
"gaiapolsu";lr-fbalpha;
"galaga";lr-mame;
"galaga88";lr-mame;
"galaxian";lr-mame;
"galaxygn";lr-fbalpha;
"galivan";lr-fbalpha;
"galmedes";lr-fbalpha;
"galpani2";lr-mame;
"galpani4";lr-fbalpha;
"galpanic";lr-fbalpha;
"galpanis";lr-fbalpha;
"galpans2";lr-fbalpha;
"galpans3";lr-fbalpha;
"galspnbl";lr-fbalpha;
"gametngk";lr-mame;
"ganbare";lr-fbalpha;
"gangwars";lr-fbalpha;
"gaplus";lr-fbalpha;
"gardia";lr-fbalpha;
"garogun";lr-fbalpha;
"garyoret";lr-fbalpha;
"gaunt2";lr-mame;
"gauntlet";lr-mame;
"gberet";lr-fbalpha;
"gbusters";lr-fbalpha;
"gcpinbal";lr-mame;
"gdfs";lr-fbalpha;
"geebee";lr-fbalpha;
"gekiridn";lr-fbalpha;
"gekirido";lr-mame;
"gemini";lr-fbalpha;
"genix";lr-fbalpha;
"genpeitd";lr-fbalpha;
"gforce2";lr-fbalpha;
"gghost";lr-mame;
"gground";adv-mame;
"ghostb";lr-fbalpha;
"ghoulsu";lr-fbalpha;
"ghoxj";lr-fbalpha;
"gigandes";lr-fbalpha;
"gigas";lr-fbalpha;
"gigasm2b";lr-fbalpha;
"gigawing";lr-fbalpha;
"gijoeu";lr-fbalpha;
"gimeabrk";lr-mame;
"ginganin";lr-fbalpha;
"ginkun";lr-fbalpha;
"gladiatr";lr-mame;
"glfgreat";lr-mame;
"glocu";lr-fbalpha;
"gmgalax";lr-fbalpha;
"gmissile";lr-mame;
"gnbarich";lr-fbalpha;
"gngt";lr-fbalpha;
"gogomile";lr-fbalpha;
"goindol";lr-mame;
"gokuparo";lr-mame;
"goldbug";lr-mame;
"goldmedl";lr-fbalpha;
"goldnaxe";lr-fbalpha;
"gollygho";lr-fbalpha;
"goonies";lr-mame;
"gorf";lr-mame;
"gotcha";lr-fbalpha;
"gprideru";lr-fbalpha;
"gradius3";lr-fbalpha;
"grasspin";lr-fbalpha;
"gratia";lr-mame;
"gravitar";adv-mame;
"grdian";lr-fbalpha;
"grdians";lr-fbalpha;
"grdnstrm";lr-fbalpha;
"grindstm";lr-fbalpha;
"grobda";lr-fbalpha;
"groundfx";lr-mame;
"growlu";lr-fbalpha;
"grudge";lr-mame;
"gseeker";lr-fbalpha;
"gslgr94u";lr-mame;
"gstrik2";lr-mame;
"gstriker";lr-mame;
"gsword";lr-mame;
"gtg";lr-mame;
"gtmr";lr-fbalpha;
"gtmr2";lr-fbalpha;
"guardian";lr-mame;
"gulfstrm";lr-fbalpha;
"gulfwar2";lr-fbalpha;
"gumbo";lr-fbalpha;
"gunbird";lr-fbalpha;
