#  allMAMEremoved 0.01 > 0.196
#
#  All sets removed, from the first version, in alphabetical order
#
#
#  © 2016/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------
| Name Set                                | Removed In      | Note       |  Type             |
| sc1esc                                  | 0.143u4         |            | Machine           |
| sc1pwrla                                | 0.147u4         |            | Machine           |
| sc1winstb                               | 0.147u4         |            | Machine           |
| sc1winstbp                              | 0.147u4         |            | Machine           |
| sc1winstc                               | 0.147u4         |            | Machine           |
| sc1winstcp                              | 0.147u4         |            | Machine           |
| sc1winstd                               | 0.147u4         |            | Machine           |
| sc1winstdp                              | 0.147u4         |            | Machine           |
| sc1winste                               | 0.147u4         |            | Machine           |
| sc1winstep                              | 0.147u4         |            | Machine           |
| sc1winstf                               | 0.147u4         |            | Machine           |
| sc1winstfp                              | 0.147u4         |            | Machine           |
| sc1winstg                               | 0.147u4         |            | Machine           |
| sc2catms4                               | 0.146u5         |            | Machine           |
| sc2cops1                                | 0.146u5         |            | Machine           |
| sc2gcclb3                               | 0.147u4         |            | Machine           |
| sc2gslam2                               | 0.147u4         |            | Machine           |
| sc2luvv4                                | 0.146u5         |            | Machine           |
| sc2motd7p                               | 0.147u4         |            | Machine           |
| sc2motd8                                | 0.147u4         |            | Machine           |
| sc4bugsd                                | 0.144           |            | Machine           |
| sc4cfg                                  | 0.144           |            | Machine           |
| sc4cfga                                 | 0.144           |            | Machine           |
| sc4cfgb                                 | 0.144           |            | Machine           |
| sc4cfgc                                 | 0.144           |            | Machine           |
| sc4fccd                                 | 0.144           |            | Machine           |
| sc4miljoa                               | 0.144           |            | Machine           |
| sc4monobn                               | 0.144           |            | Machine           |
| sc4mwwcl                                | 0.144           |            | Machine           |
| sc4pptp                                 | 0.143u7         |            | Machine           |
| sc4redal                                | 0.143u7         |            | Machine           |
| sc5dndbeo                               | 0.144           |            | Machine           |
| sc5dndbep                               | 0.144           |            | Machine           |
| sc5dndtpv                               | 0.144           |            | Machine           |
| sc5u6606                                | 0.143u7         |            | Machine           |
| sc5u7606                                | 0.143u7         |            | Machine           |
| scsi_gdrom                              | 0.151           |            | Device            |
| scsicb                                  | 0.154           |            | Device            |
| serial_image                            | 0.153           |            | Device            |
| serial_port                             | 0.153           |            | Device            |
| serial_source                           | 0.153           |            | Device            |
| sfzch                                   | 0.036rc1        |            | Machine           |
| sgb_lcd                                 | 0.179           |            | Device            |
| shinobl                                 | 0.119u3         |            | Machine           |
| smc92x4                                 | 0.164           |            | Device            |
| softbox                                 | 0.148u5         |            | Device            |
| srarb                                   | 0.192           |            | Device            |
| stardrf2                                | 0.174           |            | Machine           |
| starfire                                | 0.033b7         |            | Machine           |
| stratgyb                                | 0.036b8         |            | Machine           |
