#  allMAMErenamed 0.01 > 0.196
#
#  All sets renamed, from the first version,
#  in alphabetical order
#
#
#  © 2010/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------------------
| Old_NameSet                | New_NameSet              | Change_In    | Note        |  Type             |
| toutrun                    | toutrun1                 | 0.092        |             | Machine           |
| toutrun1                   | toutrun2                 | 0.137u4      |             | Machine           |
| toutrun2                   | toutrun3                 | 0.137u4      |             | Machine           |
| toutruna                   | toutrun2                 | 0.092        |             | Machine           |
| toutrunk                   | toutrun                  | 0.092        |             | Machine           |
| toutrunu                   | toutrun                  | 0.137u4      |             | Machine           |
| tps                        | coh1002m                 | 0.178        |             | Machine           |
| trackflc                   | trackfldc                | 0.133u1      |             | Machine           |
| trckydca                   | trckydoca                | 0.133u1      |             | Machine           |
| tretrva                    | trstrove                 | 0.175        |             | Machine           |
| trident                    | tridento                 | 0.191        |             | Machine           |
| triothej                   | triothepj                | 0.133u1      |             | Machine           |
| triothep                   | triothej                 | 0.095u2      |             | Machine           |
| triptrea                   | tritreat                 | 0.175        |             | Machine           |
| trjhrs                     | trojhors                 | 0.175        |             | Machine           |
| trkinus                    | trsking                  | 0.175        |             | Machine           |
| trog                       | trog4                    | 0.120u3      |             | Machine           |
| trogp                      | trogpa4                  | 0.138u4      |             | Machine           |
| tron                       | tron2                    | 0.128u4      |             | Machine           |
| tron2                      | tron                     | 0.128u4      |             | Machine           |
| trpdlght                   | trpdlghtu                | 0.184        |             | Machine           |
| trs80_m3                   | trs80m3                  | 0.036b6      |             | Machine           |
| trs80_m3                   | trs80m3                  | 0.033b6      |             | Machine           |
| trs80l2a                   | trs80l2                  | 0.126        |             | Machine           |
| trsm102                    | tandy102                 | 0.132        |             | Machine           |
| trsm200                    | tandy200                 | 0.132        |             | Machine           |
| trvwhiz                    | trvwhzho                 | 0.104        |             | Machine           |
| trvwhiz                    | trvwhzii                 | 0.099u1      |             | Machine           |
| trvwhza                    | trvwhzha                 | 0.104        |             | Machine           |
| trvwhzha                   | trvwzha                  | 0.118u2      |             | Machine           |
| trvwhzho                   | trvwzh                   | 0.118u2      |             | Machine           |
| trvwhzii                   | trvwz2                   | 0.118u2      |             | Machine           |
| trvwhzii                   | trvwhiz                  | 0.099u1      |             | Machine           |
| trvwhziv                   | trvwz4                   | 0.118u2      |             | Machine           |
| trvwhzva                   | trvwzva                  | 0.118u2      |             | Machine           |
| trvwhzve                   | trvwzv                   | 0.118u2      |             | Machine           |
| trvwziii                   | trvwz3h                  | 0.118u2      |             | Machine           |
| ts2                        | ts2a                     | 0.144u7      |             | Machine           |
| tsamura2                   | tsamurai2                | 0.130u3      |             | Machine           |
| tshingen                   | tshingna                 | 0.129u1      |             | Machine           |
| tshingna                   | tshingena                | 0.133u1      |             | Machine           |
| tshingna                   | tshingen                 | 0.129u1      |             | Machine           |
| tstrike                    | tstrikea                 | 0.103u1      |             | Machine           |
| tumblep                    | tumblepb                 | 0.036b8      |             | Machine           |
| tumblep2                   | tumbleb2                 | 0.100        |             | Machine           |
| tumblepb                   | tumbleb                  | 0.100        |             | Machine           |
| tunhunt                    | tunhuntc                 | 0.069        |             | Machine           |
| turbob                     | turboc                   | 0.164        |             | Machine           |
| turbosb6                   | turbosub6                | 0.136u3      |             | Machine           |
| turbosb7                   | turbosub7                | 0.136u3      |             | Machine           |
| turbosba                   | turbosb6                 | 0.129u3      |             | Machine           |
| turnover                   | v4turnov                 | 0.143u2      |             | Machine           |
| turtrea                    | turtreas                 | 0.175        |             | Machine           |
| turtshij                   | turtshipj                | 0.133u1      |             | Machine           |
| turtshik                   | turtshipk                | 0.133u1      |             | Machine           |
| turtship                   | turtshij                 | 0.106u3      |             | Machine           |
| turtship                   | turtshik                 | 0.097u2      |             | Machine           |
| tutankhm                   | tutankst                 | 0.033b1      |             | Machine           |
| tutankst                   | tutankhms                | 0.133u1      |             | Machine           |
| twinbrat                   | twinbrata                | 0.193        |             | Machine           |
| twinbrat                   | twinbrta                 | 0.109u1      |             | Machine           |
| twinbrata                  | twinbratb                | 0.193        |             | Machine           |
| twinbrta                   | twinbrata                | 0.133u1      |             | Machine           |
| twincobu                   | twincobru                | 0.133u1      |             | Machine           |
| twinhwku                   | twinhawku                | 0.130u4      |             | Machine           |
| twinjoy                    | ti99_twinjoy             | 0.186        |             | Device            |
| twotiger                   | twotigrc                 | 0.098u1      |             | Machine           |
| twotigra                   | twotiger                 | 0.098u1      |             | Machine           |
| twotigrc                   | twotigerc                | 0.133u1      |             | Machine           |
| twrdc94a                   | twrldc94a                | 0.133u1      |             | Machine           |
| twrldc94                   | twcup94                  | 0.190        |             | Machine           |
| twrldc94a                  | twcup94a                 | 0.190        |             | Machine           |
| tws96                      | twsoc96                  | 0.190        |             | Machine           |
| tx0_8w_cpu                 | tx0_8kw_cpu              | 0.186        |             | Device            |
| tx1                        | tx1jc                    | 0.146u2      |             | Machine           |
| tx1                        | tx1a                     | 0.104u7      |             | Machine           |
| tx1a                       | tx1                      | 0.146u2      |             | Machine           |
| type3_hle_kbd              | kbd_type3_hle            | 0.186        |             | Device            |
| type4_hle_kbd              | kbd_type4_hle            | 0.186        |             | Device            |
| type5_gb_hle_kbd           | kbd_type5_hle_gb         | 0.186        |             | Device            |
| type5_hle_kbd              | kbd_type5_hle_us         | 0.186        |             | Device            |
| type5_jp_hle_kbd           | kbd_type5_hle_jp         | 0.186        |             | Device            |
| type5_se_hle_kbd           | kbd_type5_hle_se         | 0.186        |             | Device            |
| ufosensb                   | ufosensib                | 0.130u3      |             | Machine           |
| undrfirj                   | undrfirej                | 0.133u1      |             | Machine           |
| undrfiru                   | undrfireu                | 0.133u1      |             | Machine           |
| unk3403                    | elecbowl                 | 0.160        |             | Machine           |
| unkfr                      | unksig                   | 0.191        |             | Machine           |
| unkmeyco                   | casbjack                 | 0.145u7      |             | Machine           |
| unkmeyco                   | mdrawpkr                 | 0.115u3      |             | Machine           |
| uopoko                     | uopokoj                  | 0.104u9      |             | Machine           |
| up_bluec                   | ac1bluec                 | 0.146u4      |             | Machine           |
| up_dbldx                   | ac1dbldx                 | 0.146u4      |             | Machine           |
| up_nudbk                   | ac1nudbk                 | 0.146u4      |             | Machine           |
| up_roll                    | ac1roll                  | 0.146u4      |             | Machine           |
| up_sstrk                   | ac1sstrk                 | 0.146u4      |             | Machine           |
| up_xpres                   | ac1xpres                 | 0.146u4      |             | Machine           |
| upd4701                    | upd4701a                 | 0.186        |             | Device            |
| upd7201n                   | upd7201_new              | 0.186        |             | Device            |
| upndown                    | upndownu                 | 0.053        |             | Machine           |
| usagui                     | usagiym                  | 0.142u3      |             | Machine           |
| usg185                     | usg187c                  | 0.148u3      |             | Machine           |
| usg252                     | usgames                  | 0.148u3      |             | Machine           |
| usg83                      | superten                 | 0.148u3      |             | Machine           |
| usg83                      | usg83x                   | 0.062        |             | Machine           |
| v4addlad                   | v4addlad20               | 0.143u4      |             | Machine           |
| v4cmazed                   | v4cmazedat               | 0.143u3      |             | Machine           |
| v53_scu                    | v63_scu                  | 0.186        |             | Device            |
| vampa                      | dstlka                   | 0.057        |             | Machine           |
| vamphafk                   | vamphalfk                | 0.133u1      |             | Machine           |
| vamphalf                   | vamphafk                 | 0.129        |             | Machine           |
| vandyja2                   | vandykejal2              | 0.133u1      |             | Machine           |
| vandyjal                   | vandykejal               | 0.133u1      |             | Machine           |
| vangrdce                   | vanguardc                | 0.133u1      |             | Machine           |
| vanguarj                   | vanguardj                | 0.133u1      |             | Machine           |
| vanvan                     | vanvank                  | 0.057        |             | Machine           |
| vanvans                    | vanvan                   | 0.057        |             | Machine           |
| vaportra                   | vaportru                 | 0.037b2      |             | Machine           |
| vaportrp                   | vaportrxp                | 0.133u1      |             | Machine           |
| vaportru                   | vaportrau                | 0.133u1      |             | Machine           |
| varth                      | varthr1                  | 0.102        |             | Machine           |
| vautour2                   | vautourz                 | 0.124u2      |             | Machine           |
| vball                      | vballb                   | 0.129u5      |             | Machine           |
| vbc                        | vbrc                     | 0.149u1      |             | Machine           |
| vblokbrk                   | vblokbrka                | 0.183        |             | Machine           |
| vcop3                      | vcop3a                   | 0.177        |             | Machine           |
| vcs5200                    | a5200                    | 0.036b6      |             | Machine           |
| vcs5200                    | a5200                    | 0.033b6      |             | Machine           |
| vector                     | vector_device            | 0.152        |             | Device            |
| vendet2p                   | vendetta2p               | 0.130u3      |             | Machine           |
| vendeta2                   | vendtaso                 | 0.062        |             | Machine           |
| vendetao                   | vendettar                | 0.130u3      |             | Machine           |
| vendetar                   | vendetao                 | 0.062        |             | Machine           |
| vendetas                   | vendetta2pu              | 0.130u3      |             | Machine           |
| vendett2                   | vendeta2                 | 0.037b13     |             | Machine           |
| vendetta                   | vendetas                 | 0.037b13     |             | Machine           |
| vendetta2p                 | vendetta2pw              | 0.189        |             | Machine           |
| vendettaj                  | vendetta2pp              | 0.189        |             | Machine           |
| vendettj                   | vendettaj                | 0.130u3      |             | Machine           |
| vendtaso                   | vendetta2pd              | 0.130u3      |             | Machine           |
| venicus                    | venice                   | 0.175        |             | Machine           |
| version4                   | version4o                | 0.142u2      |             | Machine           |
| vf1                        | vf                       | 0.088u1      |             | Machine           |
| vf2                        | vf2b                     | 0.087u2      |             | Machine           |
| vf21                       | vf2                      | 0.087u2      |             | Machine           |
| vf3                        | vf3c                     | 0.178        |             | Machine           |
| vf4                        | vf4o                     | 0.166        |             | Machine           |
| vf4c                       | vf4                      | 0.166        |             | Machine           |
| vf4evo                     | vf4evob                  | 0.189        |             | Machine           |
| vg8020                     | vg802000                 | 0.128        |             | Machine           |
| vgpoker                    | v4vgpok                  | 0.143u2      |             | Machine           |
| vhunt2                     | vhunt2r1                 | 0.070u5      |             | Machine           |
| vhuntjr1                   | vhuntjr2                 | 0.080u2      |             | Machine           |
| vic20pal                   | vic20p                   | 0.136        |             | Machine           |
| vic20s                     | vic20_se                 | 0.147u2      |             | Machine           |
| vic20swe                   | vic20s                   | 0.136        |             | Machine           |
| vic20v                     | vic20                    | 0.136        |             | Machine           |
| victlap                    | victlapw                 | 0.070u4      |             | Machine           |
| victor9kb                  | victor9k_kb              | 0.186        |             | Device            |
| videopak                   | vic20_videopak           | 0.186        |             | Device            |
| vigilanbl                  | vigilantbl               | 0.163        |             | Machine           |
| vigilano                   | vigilanto                | 0.163        |             | Machine           |
| vigilant                   | vigilantb                | 0.156        |             | Machine           |
| vigilant1                  | vigilantc                | 0.162        |             | Machine           |
| vigilantb                  | vigilanbl                | 0.162        |             | Machine           |
| vigilantj                  | vigilantd                | 0.162        |             | Machine           |
| vigilantu                  | vigilano                 | 0.162        |             | Machine           |
| vigilantu2                 | vigilantg                | 0.162        |             | Machine           |
| vigilntj                   | vigilantj                | 0.133u1      |             | Machine           |
| vigilntu                   | vigilantu                | 0.133u1      |             | Machine           |
| vimana                     | vimana1                  | 0.057        |             | Machine           |
| vimana1                    | vimanaj                  | 0.147u3      |             | Machine           |
| vimana2                    | vimana                   | 0.057        |             | Machine           |
| vindc2r1                   | vindctr2r1               | 0.133u1      |             | Machine           |
| vindc2r2                   | vindctr2r2               | 0.133u1      |             | Machine           |
| vindice3                   | vindictre3               | 0.133u1      |             | Machine           |
| vindice4                   | vindictre4               | 0.133u1      |             | Machine           |
| vindict1                   | vindictr1                | 0.133u1      |             | Machine           |
| vindict2                   | vindictr2                | 0.133u1      |             | Machine           |
| vindict4                   | vindictr4                | 0.133u1      |             | Machine           |
| vindicta                   | vindict4                 | 0.076u1      |             | Machine           |
| vindicte                   | vindictre                | 0.133u1      |             | Machine           |
| vindictg                   | vindictrg                | 0.133u1      |             | Machine           |
| vindictr                   | vindicta                 | 0.037b15     |             | Machine           |
| viofighj                   | viofightj                | 0.130u4      |             | Machine           |
| viofighu                   | viofightu                | 0.130u4      |             | Machine           |
| viostmub                   | viostormub               | 0.133u1      |             | Machine           |
| viostorm                   | viostormeb               | 0.150        |             | Machine           |
| viostorm                   | viostrmu                 | 0.068        |             | Machine           |
| viostrma                   | viostorma                | 0.133u1      |             | Machine           |
| viostrmj                   | viostormj                | 0.133u1      |             | Machine           |
| viostrmu                   | viostormu                | 0.133u1      |             | Machine           |
| viostrmu                   | viostmub                 | 0.128u4      |             | Machine           |
| viperp1                    | viprp1                   | 0.093u2      |             | Machine           |
| viperp1o                   | viprp1o                  | 0.093u2      |             | Machine           |
| viprp1                     | viprp1j                  | 0.107u2      |             | Machine           |
| viprp1o                    | viprp1oj                 | 0.136u2      |             | Machine           |
| virgedx_r1                 | virgedx_vga_r1           | 0.186        |             | Device            |
| vmetal                     | vmetaln                  | 0.096u2      |             | Machine           |
| volfidjo                   | volfiedjo                | 0.133u1      |             | Machine           |
| volfied                    | volfiedj                 | 0.057        |             | Machine           |
| von                        | vonj                     | 0.127u1      |             | Machine           |
| vonusa                     | von                      | 0.127u1      |             | Machine           |
| vp906iii                   | gdrawpkr                 | 0.114u4      |             | Machine           |
| vr4300be_drc               | vr4300be                 | 0.154        |             | Device            |
| vs10yarj                   | vs10yardj                | 0.133u1      |             | Machine           |
| vs2_2ka                    | vs2_2k                   | 0.123u3      |             | Machine           |
| vsav                       | vsavu                    | 0.057        |             | Machine           |
| vsbbalja                   | vsbballja                | 0.133u1      |             | Machine           |
| vsbbaljb                   | vsbballjb                | 0.133u1      |             | Machine           |
| vsbballj                   | vsbballjb                | 0.146u1      |             | Machine           |
| vsbballjb                  | vsbballj                 | 0.146u1      |             | Machine           |
| vsgolf                     | smgolf                   | 0.037b12     |             | Machine           |
| vsnetsca                   | vsnetscra                | 0.133u1      |             | Machine           |
| vsnetscj                   | vsnetscrj                | 0.133u1      |             | Machine           |
| vsnetscr                   | vsnetscu                 | 0.107u3      |             | Machine           |
| vsnetscu                   | vsnetscru                | 0.133u1      |             | Machine           |
| vsnetseb                   | vsnetscreb               | 0.133u1      |             | Machine           |
| vspinblj                   | vspinbalj                | 0.133u1      |             | Machine           |
| vspsx                      | coh1002v                 | 0.178        |             | Machine           |
| vssoccer                   | vssoccera                | 0.146u1      |             | Machine           |
| vssoccerj                  | vssoccer                 | 0.146u1      |             | Machine           |
| vstars                     | ckongcv                  | 0.150        |             | Machine           |
| vstennij                   | vstennisj                | 0.133u1      |             | Machine           |
| vstennis                   | vstennisa                | 0.146u1      |             | Machine           |
| vstennisj                  | vstennis                 | 0.146u1      |             | Machine           |
| vstrik3c                   | vstrik3co                | 0.166        |             | Machine           |
| vstrik3cb                  | vstrik3c                 | 0.166        |             | Machine           |
| vstriker                   | vstrikro                 | 0.107u2      |             | Machine           |
| vstrikra                   | vstriker                 | 0.107u2      |             | Machine           |
| vstrikro                   | vstrikero                | 0.133u1      |             | Machine           |
| vsyard                     | vs10yard                 | 0.108u5      |             | Machine           |
| vsyard2                    | vs10yarj                 | 0.108u5      |             | Machine           |
| vsystem_spr2               | vsystem2_spr             | 0.186        |             | Device            |
| vt82c505                   | vt82c505_device          | 0.186        |             | Device            |
| vulcana                    | vulcanb                  | 0.134u2      |             | Machine           |
| vulgus                     | vulgusa                  | 0.143u1      |             | Machine           |
| vulgus                     | vulgusj                  | 0.035b8      |             | Machine           |
| vulgus2                    | vulgus                   | 0.143u1      |             | Machine           |
| vulgus2                    | vulgus                   | 0.035b8      |             | Machine           |
| vz_rs232                   | vtech_rs232              | 0.186        |             | Device            |
| vz_rtty                    | vtech_rtty               | 0.186        |             | Device            |
| walkyrie                   | valkyrie                 | 0.036b9      |             | Machine           |
| wamazon                    | wamazona                 | 0.183        |             | Machine           |
| wamazona                   | wamazon                  | 0.183        |             | Machine           |
| wangmd2b                   | wangmid2                 | 0.173        |             | Machine           |
| wangmid2                   | wangmid2j                | 0.173        |             | Machine           |
| wargods                    | wargodsb                 | 0.146u2      |             | Machine           |
| warlord                    | warlords                 | 0.060        |             | Machine           |
| warpwar2                   | warpwarpr2               | 0.133u1      |             | Machine           |
| warpwarp                   | warpwarr                 | 0.035b8      |             | Machine           |
| warpwarr                   | warpwarpr                | 0.133u1      |             | Machine           |
| warzarda                   | warzardr1                | 0.145u4      |             | Machine           |
| wawe                       | wave                     | 0.153        |             | Device            |
| wb3                        | wb3b                     | 0.088u4      |             | Machine           |
| wb3a                       | wb31                     | 0.092        |             | Machine           |
| wb3a                       | wb3ba                    | 0.088u4      |             | Machine           |
| wb3b                       | wb3                      | 0.092        |             | Machine           |
| wb3b                       | wb3bb                    | 0.088u4      |             | Machine           |
| wb3ba                      | wb33                     | 0.092        |             | Machine           |
| wb3bb                      | wb32                     | 0.092        |             | Machine           |
| wb3bbl                     | wb3bbl                   | 0.092        |             | Machine           |
| wb3bl                      | wb3bbl                   | 0.088u4      |             | Machine           |
| wbeachv2                   | wbeachvl2                | 0.133u1      |             | Machine           |
| wbml                       | wbmlb                    | 0.079        |             | Machine           |
| wbml                       | wbmlb                    | 0.056        |             | Machine           |
| wbmlj                      | wbmljo                   | 0.079        |             | Machine           |
| wbmlj                      | wbmljo                   | 0.056        |             | Machine           |
| wbmlj2                     | wbml                     | 0.079        |             | Machine           |
| wbmlj2                     | wbml                     | 0.056        |             | Machine           |
| wbmlju                     | wbmljb                   | 0.079        |             | Machine           |
| wbmlju                     | wbmljb                   | 0.056        |             | Machine           |
| wboy                       | wboyo                    | 0.037b6      |             | Machine           |
| wboy                       | wboyo                    | 0.037b16     |             | Machine           |
| wboy2                      | wboy3                    | 0.037b6      |             | Machine           |
| wboy2                      | wboy3                    | 0.037b16     |             | Machine           |
| wboy3                      | wboy                     | 0.037b6      |             | Machine           |
| wboy3                      | wboy                     | 0.037b16     |             | Machine           |
| wboy4                      | wboy2                    | 0.037b6      |             | Machine           |
| wboy4                      | wboy2                    | 0.037b16     |             | Machine           |
| wboy4u                     | wboy2u                   | 0.037b6      |             | Machine           |
| wboy4u                     | wboy2u                   | 0.037b16     |             | Machine           |
| wc90                       | twcup90                  | 0.190        |             | Machine           |
| wc90a                      | twcup90a                 | 0.190        |             | Machine           |
| wc90b                      | twcup90b                 | 0.190        |             | Machine           |
| wc90b                      | wc90b1                   | 0.128u5      |             | Machine           |
| wc90b1                     | twcup90b1                | 0.190        |             | Machine           |
| wc90b2                     | twcup90b2                | 0.190        |             | Machine           |
| wc90ba                     | twcup90ba                | 0.190        |             | Machine           |
| wc90t                      | twcup90t                 | 0.190        |             | Machine           |
| wcbowl                     | wcbwl12                  | 0.069        |             | Machine           |
| wcbwl12                    | wcbowl12                 | 0.133u1      |             | Machine           |
| wcbwl13                    | wcbowl13                 | 0.133u1      |             | Machine           |
| wcbwl140                   | wcbowl140                | 0.133u1      |             | Machine           |
| wcbwl15                    | wcbowl15                 | 0.133u1      |             | Machine           |
| wcbwl16                    | wcbowl16                 | 0.133u1      |             | Machine           |
| wcbwl161                   | wcbowl161                | 0.133u1      |             | Machine           |
| wcbwl165                   | wcbowl165                | 0.133u1      |             | Machine           |
| wcombaj                    | wcombatj                 | 0.132u5      |             | Machine           |
| wcombak                    | wcombatk                 | 0.132u5      |             | Machine           |
| wd1773_l                   | wd1773                   | 0.163        |             | Device            |
| wecleman2                  | weclemana                | 0.167        |             | Machine           |
| welltrij                   | welltrisj                | 0.133u1      |             | Machine           |
| welltris                   | welltrij                 | 0.096u3      |             | Machine           |
| weststory                  | weststry                 | 0.194        |             | Machine           |
| weststorya                 | weststrya                | 0.194        |             | Machine           |
| weststry                   | weststory                | 0.193        |             | Machine           |
| wexpresb                   | wexpressb                | 0.133u1      |             | Machine           |
| wexpresc                   | wexpressb2               | 0.133u1      |             | Machine           |
| wexpress                   | wexpressb                | 0.146u1      |             | Machine           |
| wexpressb                  | wexpressb1               | 0.147u3      |             | Machine           |
| wexpressb                  | wexpressb2               | 0.146u1      |             | Machine           |
| wexpressb2                 | wexpressb3               | 0.146u1      |             | Machine           |
| wfortuna                   | wfortunea                | 0.133u1      |             | Machine           |
| wh1                        | wh1h                     | 0.120        |             | Machine           |
| wh1a                       | wh1h                     | 0.069u3      |             | Machine           |
| wh1h                       | wh1ha                    | 0.120        |             | Machine           |
| wh2j                       | wh2jh                    | 0.120        |             | Machine           |
| wh2jh                      | wh2j                     | 0.139u2      |             | Machine           |
| wheregld                   | wheregldm                | 0.175        |             | Machine           |
| wheroes                    | wh1                      | 0.035b3      |             | Machine           |
| whizquiz                   | wizzquiz                 | 0.087        |             | Machine           |
| whlcshus                   | whalecshu                | 0.175        |             | Machine           |
| whlcshusa                  | whalecshua               | 0.175        |             | Machine           |
| whodunit                   | whodunit8                | 0.152        |             | Machine           |
| whtwtr                     | whtwater                 | 0.175        |             | Machine           |
| wildways                   | wwaysm                   | 0.175        |             | Machine           |
| willow                     | willowu                  | 0.160        |             | Machine           |
| willow                     | willowje                 | 0.064        |             | Machine           |
| willowje                   | willowo                  | 0.141u2      |             | Machine           |
| willowo                    | willowuo                 | 0.160        |             | Machine           |
| winbid                     | winbidr                  | 0.193        |             | Machine           |
| windheat                   | windheau                 | 0.126u2      |             | Machine           |
| windheau                   | windheatu                | 0.133u1      |             | Machine           |
| wingar                     | wingwaru                 | 0.138        |             | Machine           |
| wingolus                   | wingoly                  | 0.175        |             | Machine           |
| wingwara                   | wingwar                  | 0.138        |             | Machine           |
| winrun                     | winrungp                 | 0.145u1      |             | Machine           |
| winspike                   | winspikj                 | 0.090u2      |             | Machine           |
| winspikj                   | winspikej                | 0.133u1      |             | Machine           |
| witch                      | witchs                   | 0.147u4      |             | Machine           |
| witchcde                   | witchjol                 | 0.141u1      |             | Machine           |
| witchcrd                   | witchcdc                 | 0.128u5      |             | Machine           |
| witgold                    | wheregld                 | 0.175        |             | Machine           |
| witgoldd                   | wheregldsp               | 0.175        |             | Machine           |
| wizdfire                   | wizdfiru                 | 0.131u3      |             | Machine           |
| wizdfiru                   | wizdfireu                | 0.133u1      |             | Machine           |
| wizzquiz                   | wizzquza                 | 0.088u7      |             | Machine           |
| wizzquza                   | wizzquiza                | 0.133u1      |             | Machine           |
| wldafus                    | wldafr                   | 0.175        |             | Machine           |
| wldamz1                    | wamazon                  | 0.175        |             | Machine           |
| wldamz3                    | wamazona                 | 0.175        |             | Machine           |
| wldcatsa                   | wldcata6                 | 0.175        |             | Machine           |
| wldcoug                    | wcougar                  | 0.175        |             | Machine           |
| wldcougr                   | wcougaru                 | 0.175        |             | Machine           |
| wldkicks                   | wldkicksu                | 0.186        |             | Machine           |
| wldkicks                   | wldkicksa                | 0.166        |             | Machine           |
| wldkicksa                  | wldkicks                 | 0.186        |             | Machine           |
| wldkicksa                  | wldkicks                 | 0.166        |             | Machine           |
| wldkicksb                  | wldkicksj                | 0.166        |             | Machine           |
| wldkicksj                  | wldkickspj               | 0.182        |             | Machine           |
| wldpan2                    | wldpanda                 | 0.175        |             | Machine           |
| wldpntus                   | wldpanth                 | 0.175        |             | Machine           |
| wldstal2                   | wldstall                 | 0.175        |             | Machine           |
| wldthg                     | wthing                   | 0.175        |             | Machine           |
| wldwitch                   | wldwitchq                | 0.145u5      |             | Machine           |
| wmbullet                   | bullet                   | 0.144u7      |             | Machine           |
| wof                        | wofr1                    | 0.144u3      |             | Machine           |
| wofhfb                     | wofhfh                   | 0.139u1      |             | Machine           |
| wofhfh                     | wofhfb                   | 0.139        |             | Machine           |
| woodpek                    | woodpeck                 | 0.132u4      |             | Machine           |
| woodpeka                   | woodpeca                 | 0.132u4      |             | Machine           |
| wordpro                    | vtech_wordpro            | 0.186        |             | Device            |
| worldc94                   | twrldc94                 | 0.095u4      |             | Machine           |
| worlhe2j                   | wh2j                     | 0.035b3      |             | Machine           |
| worlher2                   | wh2                      | 0.035b3      |             | Machine           |
| wrallyb                    | wrallyat                 | 0.171        |             | Machine           |
| wrestwa1                   | wrestwar1                | 0.133u1      |             | Machine           |
| wrestwa2                   | wrestwar2                | 0.133u1      |             | Machine           |
| wrestwra                   | wrestwa1                 | 0.092        |             | Machine           |
| wrestwrb                   | wrestwa2                 | 0.092        |             | Machine           |
| wsjr15                     | wsjr_15                  | 0.155        |             | Machine           |
| wtchjacka                  | wtchjackj                | 0.168        |             | Machine           |
| wtchjackb                  | wtchjacki                | 0.168        |             | Machine           |
| wtchjackc                  | wtchjackh                | 0.168        |             | Machine           |
| wtchjackd                  | wtchjackg                | 0.168        |             | Machine           |
| wtchjacke                  | wtchjackf                | 0.168        |             | Machine           |
| wtchjackf                  | wtchjacke                | 0.168        |             | Machine           |
| wtchjackg                  | wtchjackc                | 0.168        |             | Machine           |
| wtchjackh                  | wtchjackd                | 0.168        |             | Machine           |
| wtchjacki                  | wtchjackb                | 0.168        |             | Machine           |
| wtchjackj                  | wtchjacka                | 0.168        |             | Machine           |
| wvmdtbse                   | vmdtbase                 | 0.140        |             | Machine           |
| wwally                     | wwallyja                 | 0.095u2      |             | Machine           |
| wwally                     | wwallyb                  | 0.089u1      |             | Machine           |
| wwally1                    | wwallyj                  | 0.095u2      |             | Machine           |
| wwallyb                    | wwally1                  | 0.092        |             | Machine           |
| wwaysar                    | wways                    | 0.175        |             | Machine           |
| wwaysll                    | wzwaysll                 | 0.175        |             | Machine           |
| wwester1                   | wwestern1                | 0.133u1      |             | Machine           |
| wwfmanib                   | wwfmaniab                | 0.133u1      |             | Machine           |
| wwfsstaa                   | wwfsstara                | 0.133u1      |             | Machine           |
| wwfsstaj                   | wwfsstarj                | 0.133u1      |             | Machine           |
| wwfsstar                   | wwfsstau                 | 0.099u2      |             | Machine           |
| wwfsstara                  | wwfsstaru                | 0.148u1      |             | Machine           |
| wwfsstaru                  | wwfsstaru7               | 0.189        |             | Machine           |
| wwfsstaru                  | wwfsstarua               | 0.148u1      |             | Machine           |
| wwfsstarua                 | wwfsstaru4               | 0.189        |             | Machine           |
| wwfsstau                   | wwfsstaru                | 0.133u1      |             | Machine           |
| wwfwfest                   | wwfwfestu                | 0.180        |             | Machine           |
| wwfwfesta                  | wwfwfest                 | 0.180        |             | Machine           |
| wwfwfsta                   | wwfwfesta                | 0.133u1      |             | Machine           |
| wwfwfstb                   | wwfwfestb                | 0.133u1      |             | Machine           |
| wwfwfstj                   | wwfwfestj                | 0.133u1      |             | Machine           |
| xerox168                   | x168                     | 0.147u4      |             | Machine           |
| xerox820                   | x820                     | 0.147u4      |             | Machine           |
| xerox820ii                 | x820ii                   | 0.147u4      |             | Machine           |
| xevi3dg                    | xevi3dgj                 | 0.188        |             | Machine           |
| xevious                    | xeviousa                 | 0.033b7      |             | Machine           |
| xeviousn                   | xevious                  | 0.033b7      |             | Machine           |
| xfiles                     | xfilesk                  | 0.155        |             | Machine           |
