#  allMAMErenamed 0.01 > 0.196
#
#  All sets renamed, from the first version,
#  in alphabetical order
#
#
#  © 2010/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------------------
| Old_NameSet                | New_NameSet              | Change_In    | Note        |  Type             |
| aquajckj                   | aquajackj                | 0.133u1      |             | Machine           |
| aquarium                   | aquariumj                | 0.169        |             | Machine           |
| ar_ldrb                    | ar_ldrba                 | 0.148u2      |             | Machine           |
| ar_ldrba                   | ar_ldrb                  | 0.148u2      |             | Machine           |
| arabfgt                    | arabfgtu                 | 0.102u4      |             | Machine           |
| arabiamj                   | arabianmj                | 0.133u1      |             | Machine           |
| arabiamu                   | arabianmu                | 0.133u1      |             | Machine           |
| arabian                    | arabiana                 | 0.035b13     |             | Machine           |
| ararmy                     | roboarmy                 | 0.035b3      |             | Machine           |
| arbngts                    | arabnga6u                | 0.175        |             | Machine           |
| arbnigar                   | arabnga6                 | 0.175        |             | Machine           |
| arca5                      | arc_a5                   | 0.186        |             | Device            |
| arcadia                    | warcadia                 | 0.141u1      |             | Machine           |
| archriv2                   | archrivl2                | 0.133u1      |             | Machine           |
| archrivl2                  | archrivla                | 0.150        |             | Machine           |
| arctthndult                | ultarctc                 | 0.161        |             | Machine           |
| area51                     | area51t                  | 0.082u1      |             | Machine           |
| area51                     | area51a                  | 0.079u2      |             | Machine           |
| area51t                    | area51ta                 | 0.161        |             | Machine           |
| ark2jp                     | arknid2j                 | 0.056        |             | Machine           |
| ark2us                     | arknid2u                 | 0.056        |             | Machine           |
| arkanoi2                   | arknoid2                 | 0.056        |             | Machine           |
| arkanoidj                  | arkanoidja               | 0.155        |             | Machine           |
| arkanoidjb                 | arkanoidjbl              | 0.155        |             | Machine           |
| arkanoidjb2                | arkanoidjbl2             | 0.155        |             | Machine           |
| arkanoidjo                 | arkanoidjb               | 0.155        |             | Machine           |
| arkatayt                   | arktayt2                 | 0.108u4      |             | Machine           |
| arkbl2                     | arkmcubl                 | 0.108u3      |             | Machine           |
| arkbl3                     | arkgcbl                  | 0.108u3      |             | Machine           |
| arkbloc2                   | arkblock                 | 0.108u3      |             | Machine           |
| arkblock                   | arkbloc2                 | 0.108u3      |             | Machine           |
| arkmcubl                   | arkanoidjb               | 0.143u2      |             | Machine           |
| arknid2j                   | arknoid2j                | 0.133u1      |             | Machine           |
| arknid2u                   | arknoid2u                | 0.133u1      |             | Machine           |
| arknoidj                   | arkanoidj                | 0.133u1      |             | Machine           |
| arknoidu                   | arkanoidu                | 0.133u1      |             | Machine           |
| arknoiuo                   | arkanoiduo               | 0.133u1      |             | Machine           |
| arkretrn                   | arkretrnj                | 0.148u4      |             | Machine           |
| arm                        | arm_le                   | 0.186        |             | Device            |
| arm7                       | arm7_le                  | 0.186        |             | Device            |
| armchm2o                   | armchmp2o                | 0.133u1      |             | Machine           |
| armchmp2                   | armchm2o                 | 0.107u3      |             | Machine           |
| armedf                     | armedff                  | 0.138        |             | Machine           |
| armorca2                   | armorcar2                | 0.133u1      |             | Machine           |
| armwara                    | armwarar1                | 0.155        |             | Machine           |
| artfight                   | aof                      | 0.035b3      |             | Machine           |
| ashura                     | ashuraj                  | 0.131        |             | Machine           |
| astdelu1                   | astdelux1                | 0.133u1      |             | Machine           |
| astdelu1                   | astdelu2                 | 0.107u4      |             | Machine           |
| astdelu2                   | astdelux2                | 0.133u1      |             | Machine           |
| asteroi1                   | asteroid1                | 0.133u1      |             | Machine           |
| asteroi2                   | asteroid2                | 0.133u1      |             | Machine           |
| asteroi2                   | asteroid                 | 0.033b7      |             | Machine           |
| asteroib                   | asteroidb                | 0.133u1      |             | Machine           |
| asteroid                   | asteroi2                 | 0.132u2      |             | Machine           |
| asteroid                   | asteroi1                 | 0.033b7      |             | Machine           |
| astlaser                   | laser                    | 0.036        |             | Machine           |
| astorm                     | astormj                  | 0.092        |             | Machine           |
| astorm2p                   | astorm                   | 0.092        |             | Machine           |
| astorma                    | astorm3                  | 0.092        |             | Machine           |
| astormb                    | astormu                  | 0.092        |             | Machine           |
| astrob                     | astrob2                  | 0.037b2      |             | Machine           |
| astrocde_exp               | astrocade_exp            | 0.186        |             | Device            |
| astrode                    | astrobg                  | 0.138u1      |             | Machine           |
| astrxeaa                   | asterixeaa               | 0.133u1      |             | Machine           |
| astrxeac                   | asterixeac               | 0.133u1      |             | Machine           |
| at386sx                    | ct386sx                  | 0.148u4      |             | Machine           |
| atari_dcp                  | atari_dpc                | 0.186        |             | Device            |
| ataxx                      | ataxxa                   | 0.196        | <- NEW!     | Machine           |
| ataxxa                     | ataxx                    | 0.196        | <- NEW!     | Machine           |
| atcga                      | at                       | 0.037b8      |             | Machine           |
| atetckt2                   | atetrisc2                | 0.133u1      |             | Machine           |
| atetcktl                   | atetrisc                 | 0.133u1      |             | Machine           |
| atetcktl                   | atetckt2                 | 0.034b8      |             | Machine           |
| atlants2                   | atlantis2                | 0.133u1      |             | Machine           |
| atluspsx                   | coh1001l                 | 0.178        |             | Machine           |
| atm2                       | atmtb2                   | 0.135        |             | Machine           |
| atomboy                    | atomboya                 | 0.125u3      |             | Machine           |
| atompunk                   | newapunk                 | 0.096        |             | Machine           |
| atpsx                      | coh1000w                 | 0.178        |             | Machine           |
| attckexd                   | attckexd2                | 0.159        |             | Machine           |
| atworld                    | atworlde1                | 0.142u2      |             | Machine           |
| auraila                    | aurail1                  | 0.092        |             | Machine           |
| av2mj1                     | av2mj1bb                 | 0.057        |             | Machine           |
| avalon13                   | avalnc13                 | 0.159        |             | Machine           |
| avalons                    | avalonsc                 | 0.159        |             | Machine           |
| avenger2                   | avengers2                | 0.133u1      |             | Machine           |
| avengrgj                   | avengrgsj                | 0.133u1      |             | Machine           |
| avengrgs                   | avengrgj                 | 0.102        |             | Machine           |
| avsp                       | avspu                    | 0.037b16     |             | Machine           |
| babypac                    | babypac2                 | 0.145u8      |             | Machine           |
| backfira                   | backfirea                | 0.133u1      |             | Machine           |
| badbog                     | baddog                   | 0.175        |             | Machine           |
| badlandb                   | badlandsb                | 0.133u1      |             | Machine           |
| bagman                     | bagmans                  | 0.033b7      |             | Machine           |
| bagmang                    | bagmanmc                 | 0.063        |             | Machine           |
| bangbead                   | bangbedp                 | 0.068        |             | Machine           |
| baraduka                   | baraduke                 | 0.118u5      |             | Machine           |
| baryon                     | baryona                  | 0.159        |             | Machine           |
| baryona                    | baryon                   | 0.159        |             | Machine           |
| basic_joy                  | pc_basic_joy             | 0.186        |             | Device            |
| basschal                   | basschalo                | 0.170        |             | Machine           |
| batlbala                   | batlballa                | 0.133u1      |             | Machine           |
| batlbalu                   | batlballu                | 0.133u1      |             | Machine           |
| batman                     | batmantv                 | 0.142        |             | Machine           |
| batrid                     | batrider                 | 0.141u4      |             | Machine           |
| batridc                    | batrider                 | 0.141u4      |             | Machine           |
| batrider                   | batridj                  | 0.129u3      |             | Machine           |
| batridj                    | batriderj                | 0.141u4      |             | Machine           |
| batridja                   | batriderja               | 0.141u4      |             | Machine           |
| batridk                    | batriderk                | 0.141u4      |             | Machine           |
| batridra                   | batridja                 | 0.129u3      |             | Machine           |
| batridrk                   | batridk                  | 0.129u3      |             | Machine           |
| batridta                   | batridert                | 0.141u4      |             | Machine           |
| batridu                    | batrideru                | 0.141u4      |             | Machine           |
| batsugna                   | batsuguna                | 0.133u1      |             | Machine           |
| batsugun                   | batsuguna                | 0.141u1      |             | Machine           |
| battlan2                   | battlane2                | 0.133u1      |             | Machine           |
| battlan3                   | battlane3                | 0.133u1      |             | Machine           |
| battleg                    | bgaregcn                 | 0.117u1      |             | Machine           |
| battleg                    | battlega                 | 0.061        |             | Machine           |
| battlega                   | bgaregga                 | 0.117u1      |             | Machine           |
| battlegb                   | bgaregnv                 | 0.117u1      |             | Machine           |
| battlegc                   | bgareghk                 | 0.117u1      |             | Machine           |
| battlntj                   | battlntsj                | 0.133u1      |             | Machine           |
| batugnsp                   | batsugunsp               | 0.133u1      |             | Machine           |
| batwings                   | bwings                   | 0.111u6      |             | Machine           |
| bayrout1                   | bayroute1                | 0.133u1      |             | Machine           |
| bayrouta                   | bayroute                 | 0.092        |             | Machine           |
| bayroutb                   | bayroutj                 | 0.092        |             | Machine           |
| bayroute                   | bayrout1                 | 0.092        |             | Machine           |
| bayroutj                   | bayroutej                | 0.133u1      |             | Machine           |
| bayrtbl1                   | bayrouteb1               | 0.131u3      |             | Machine           |
| bayrtbl2                   | bayrouteb2               | 0.131u3      |             | Machine           |
| bbakrada                   | bbakraid                 | 0.077u3      |             | Machine           |
| bbakradu                   | bkraiduj                 | 0.129u3      |             | Machine           |
| bbakraid                   | bkraidj                  | 0.129u3      |             | Machine           |
| bbakraid                   | bbkraidu                 | 0.077u3      |             | Machine           |
| bbc                        | bbcb                     | 0.037b4      |             | Machine           |
| bbcb1770                   | bbcm                     | 0.090        |             | Machine           |
| bbhsc                      | bbhsca                   | 0.190        |             | Machine           |
| bbkraidu                   | bbakradu                 | 0.078        |             | Machine           |
| bbmanwj                    | bbmanwja                 | 0.151        |             | Machine           |
| bbustersj                  | bbustersja               | 0.192        |             | Machine           |
| bbustersja                 | bbustersj                | 0.192        |             | Machine           |
| bbustersu                  | bbustersua               | 0.163        |             | Machine           |
| bbusteru                   | bbustersu                | 0.133u1      |             | Machine           |
| bctvidbs                   | v4bios                   | 0.143u2      |             | Machine           |
| beaminva                   | pacominv                 | 0.144u6      |             | Machine           |
| beastf                     | beastfp                  | 0.176        |             | Machine           |
| beastrzb                   | beastrzrb                | 0.147u1      |             | Machine           |
| berabohm                   | beraboho                 | 0.059        |             | Machine           |
| berabohmo                  | berabohmb                | 0.153        |             | Machine           |
| beraboho                   | berabohmo                | 0.133u1      |             | Machine           |
| berlwall                   | berlwalt                 | 0.102u1      |             | Machine           |
| berlwalt                   | berlwallt                | 0.133u1      |             | Machine           |
| berlwalt                   | berlwall                 | 0.102u1      |             | Machine           |
| bermudaa                   | bermudata                | 0.133u1      |             | Machine           |
| bermudaj                   | bermudatj                | 0.133u1      |             | Machine           |
| bermudaj                   | bermudat                 | 0.062        |             | Machine           |
| bermudao                   | bermudat                 | 0.068        |             | Machine           |
| bermudat                   | bermudao                 | 0.068        |             | Machine           |
| bermudat                   | bermudao                 | 0.062        |             | Machine           |
| bgaregcn                   | bgareggacn               | 0.133u1      |             | Machine           |
| bgareghk                   | bgareggahk               | 0.133u1      |             | Machine           |
| bgaregnv                   | bgaregganv               | 0.133u1      |             | Machine           |
| bgaregt2                   | bgareggat2               | 0.133u1      |             | Machine           |
| bigbenpj                   | bigben                   | 0.175        |             | Machine           |
| bigboy                     | goldnpkr                 | 0.108u5      |             | Machine           |
| bigd2                      | zhongguo                 | 0.159        |             | Machine           |
| bigevglj                   | bigevglfj                | 0.133u1      |             | Machine           |
| bigredjp                   | bigred2                  | 0.175        |             | Machine           |
| bionicc                    | bionicc1                 | 0.110u3      |             | Machine           |
| birredar                   | bigred                   | 0.175        |             | Machine           |
| bkraidj                    | bbakraidja               | 0.141u4      |             | Machine           |
| bkraidu                    | bbakraid                 | 0.141u4      |             | Machine           |
| bkraiduj                   | bbakraidj                | 0.141u4      |             | Machine           |
| bktigerb                   | bktigrb1                 | 0.128u5      |             | Machine           |
| bktigrb1                   | blktigerb1               | 0.131u1      |             | Machine           |
| bktigrb2                   | blktigerb2               | 0.131u1      |             | Machine           |
| bladstle                   | bladestle                | 0.133u1      |             | Machine           |
| blandia                    | blandiap                 | 0.062        |             | Machine           |
| blast30                    | blaster30                | 0.133u1      |             | Machine           |
| blaster30                  | blastero                 | 0.143u4      |             | Machine           |
| blastkit                   | blasterkit               | 0.133u1      |             | Machine           |
| blckgalb                   | blockgalb                | 0.130u3      |             | Machine           |
| blckout2                   | blockout2                | 0.133u1      |             | Machine           |
| blckoutj                   | blockoutj                | 0.133u1      |             | Machine           |
| blitz                      | blitzs                   | 0.142        |             | Machine           |
| blkdrgnb                   | blkdrgonb                | 0.131u1      |             | Machine           |
| blkhearj                   | blkheartj                | 0.133u1      |             | Machine           |
| blmbycar                   | blmbycau                 | 0.055        |             | Machine           |
| blmbycau                   | blmbycaru                | 0.133u1      |             | Machine           |
| block                      | blockr2                  | 0.171        |             | Machine           |
| block                      | blockjoy                 | 0.104        |             | Machine           |
| block                      | blocka                   | 0.037b14     |             | Machine           |
| blocka                     | block                    | 0.104        |             | Machine           |
| blockjoy                   | blockr1                  | 0.171        |             | Machine           |
| bloodbra                   | bloodbroa                | 0.133u1      |             | Machine           |
| bloodbro                   | bloodbroja               | 0.193        |             | Machine           |
| bloodbroa                  | bloodbroj                | 0.193        |             | Machine           |
| bloodbrob                  | bloodbro                 | 0.193        |             | Machine           |
| bloods11                   | bloodstm11               | 0.133u1      |             | Machine           |
| bloods21                   | bloodstm21               | 0.133u1      |             | Machine           |
| bloods22                   | bloodstm22               | 0.133u1      |             | Machine           |
| blox                       | v4blox                   | 0.143u2      |             | Machine           |
| bloxd                      | v4bloxd                  | 0.143u2      |             | Machine           |
| blsthead                   | blstroidh                | 0.133u1      |             | Machine           |
| blstroi2                   | blstroid2                | 0.133u1      |             | Machine           |
| blstroi3                   | blstroid3                | 0.133u1      |             | Machine           |
| blstroid                   | blstroi2                 | 0.035b11     |             | Machine           |
| blstroig                   | blstroidg                | 0.133u1      |             | Machine           |
| bluehawn                   | bluehawkn                | 0.133u1      |             | Machine           |
| blueprnj                   | blueprntj                | 0.133u1      |             | Machine           |
| bm3rdmxa                   | bm3rdmix                 | 0.114        |             | Machine           |
| bmbgs                      | bmbugs                   | 0.175        |             | Machine           |
| bmiidx                     | bmiidxa                  | 0.152        |             | Machine           |
