#  addMAME 0.01 > 0.196
#
#  © 2014/2018 AntoPISA of www.progettosnaps.net
#
#  Total sets: 35,074
#
#
-----------------------------------------------------------
| S e t                     | Added in version | T y p e  |
| ad5dndclb                 | 0.147u4          | MAME     |
| ad5dndclc                 | 0.147u4          | MAME     |
| ad5dndcld                 | 0.147u4          | MAME     |
| ad5dndcle                 | 0.147u4          | MAME     |
| ad5dndclf                 | 0.147u4          | MAME     |
| ad5dndclg                 | 0.147u4          | MAME     |
| ad5dndd                   | 0.147u4          | MAME     |
| ad5dnddd                  | 0.143u4          | MAME     |
| ad5dnddda                 | 0.147u4          | MAME     |
| ad5dnde                   | 0.147u4          | MAME     |
| ad5dndf                   | 0.147u4          | MAME     |
| ad5dndg                   | 0.147u4          | MAME     |
| ad5dndh                   | 0.147u4          | MAME     |
| ad5dndi                   | 0.147u4          | MAME     |
| ad5dndj                   | 0.147u4          | MAME     |
| ad5dndk                   | 0.147u4          | MAME     |
| ad5dndl                   | 0.147u4          | MAME     |
| ad5dndm                   | 0.147u4          | MAME     |
| ad5dndn                   | 0.147u4          | MAME     |
| ad5dndo                   | 0.147u4          | MAME     |
| ad5dndp                   | 0.147u4          | MAME     |
| ad5dndpg                  | 0.143u4          | MAME     |
| ad5dndpga                 | 0.147u4          | MAME     |
| ad5dndpgb                 | 0.147u4          | MAME     |
| ad5dndpgc                 | 0.147u4          | MAME     |
| ad5dndpl                  | 0.143u4          | MAME     |
| ad5dndpla                 | 0.147u4          | MAME     |
| ad5dndplb                 | 0.147u4          | MAME     |
| ad5dndplc                 | 0.147u4          | MAME     |
| ad5dndq                   | 0.147u4          | MAME     |
| ad5dndr                   | 0.147u4          | MAME     |
| ad5dndu                   | 0.147u4          | MAME     |
| ad5dndv                   | 0.147u4          | MAME     |
| ad5eyes                   | 0.143u4          | MAME     |
| ad5eyesa                  | 0.147u4          | MAME     |
| ad5eyesb                  | 0.147u4          | MAME     |
| ad5eyesc                  | 0.147u4          | MAME     |
| ad5eyesd                  | 0.147u4          | MAME     |
| ad5eyese                  | 0.147u4          | MAME     |
| ad5eyesf                  | 0.147u4          | MAME     |
| ad5eyesg                  | 0.143u4          | MAME     |
| ad5gldmn                  | 0.143u4          | MAME     |
| ad5gldmna                 | 0.147u4          | MAME     |
| ad5gldmnb                 | 0.147u4          | MAME     |
| ad5gldmnc                 | 0.147u4          | MAME     |
| ad5gldmnd                 | 0.147u4          | MAME     |
| ad5gldmne                 | 0.147u4          | MAME     |
| ad5gldmnf                 | 0.147u4          | MAME     |
| ad5gldmng                 | 0.147u4          | MAME     |
| ad5gldmnh                 | 0.147u4          | MAME     |
| ad5gldmni                 | 0.147u4          | MAME     |
| ad5gldmnj                 | 0.147u4          | MAME     |
| ad5gldmnk                 | 0.147u4          | MAME     |
| ad5gldwn                  | 0.143u4          | MAME     |
| ad5gldwna                 | 0.147u4          | MAME     |
| ad5hir                    | 0.143u4          | MAME     |
| ad5hira                   | 0.147u4          | MAME     |
| ad5hirb                   | 0.147u4          | MAME     |
| ad5hirc                   | 0.147u4          | MAME     |
| ad5hircl                  | 0.143u4          | MAME     |
| ad5hircla                 | 0.147u4          | MAME     |
| ad5hirclb                 | 0.147u4          | MAME     |
| ad5jckmo                  | 0.143u4          | MAME     |
| ad5jckmoa                 | 0.147u4          | MAME     |
| ad5jckmob                 | 0.147u4          | MAME     |
| ad5jckmoc                 | 0.147u4          | MAME     |
| ad5jckmod                 | 0.147u4          | MAME     |
| ad5jckmoe                 | 0.147u4          | MAME     |
| ad5mcob                   | 0.143u4          | MAME     |
| ad5mcoba                  | 0.147u4          | MAME     |
| ad5mcobb                  | 0.147u4          | MAME     |
| ad5mcobc                  | 0.147u4          | MAME     |
| ad5monop                  | 0.143u4          | MAME     |
| ad5monopa                 | 0.147u4          | MAME     |
| ad5monopb                 | 0.147u4          | MAME     |
| ad5monopc                 | 0.147u4          | MAME     |
| ad5monopd                 | 0.147u4          | MAME     |
| ad5monope                 | 0.147u4          | MAME     |
| ad5monopf                 | 0.147u4          | MAME     |
| ad5monopg                 | 0.147u4          | MAME     |
| ad5monoph                 | 0.147u4          | MAME     |
| ad5monopi                 | 0.147u4          | MAME     |
| ad5monopj                 | 0.147u4          | MAME     |
