name;bios;description;is_parent;manufacturer;sample;year
neopong;neogeo;Neo Pong (ver 1.1);NO;Neo Dev Corporation;-;2002;
neotet;neogeo;NeoGeo 2-Player Tetris;NO;Crim/Stephen;-;2013;
neothndr;neogeo;Neo Thunder;NO;Sebastian Mihai;-;2012;
newxpang;-;New Cross Pang (set 1);NO;F2 System;-;1999;
ngfrog;neogeo;Frog Feast (Neo Geo);NO;Rastersoft;-;2006;
nhidctch;-;New Hidden Catch (World) / New Tul Lin Gu Lim Chat Ki '98 (Korea) (pcb ver 3.02);NO;Eolith;-;1999;
nmg5;-;Multi 5 / New Multi Game 5 (set 1);NO;Yun Sung;-;1998;
nmk004;-;NMK004 Internal ROM;NO;N M K Corporation;-;1990;
nob;-;Noboranka (Japan);NO;Data East Corporation;-;1986;
nsub;-;N-Sub (upright);NO;Sega;-;1980;
oldsplus;pgm;Oriental Legend 2 (Korea) / Xi You Shi E Zhuan Super Plus (World, China, Japan, Hong Kong, Taiwan) (V205);NO;IGS;-;2004;
onetwo;-;One + Two;NO;Barko;-;1997;
orbs;-;Orbs (10/7/94 prototype?);NO;American Sammy;-;1994;
pairlove;-;Pairs Love;NO;Athena;-;1991;
pairsred;-;Pairs Redemption (V1.0, 10/25/94);NO;Strata/Incredible Technologies;-;1994;
pangpang;-;Pang Pang;NO;Dong Gue La Mi Ltd.;-;1994;
paprazzi;-;Paparazzi;NO;Yun Sung;-;1996;
pasha2;-;Pasha Pasha 2;NO;Dong Sung;-;1998;
pastelis;-;Pastel Island (Japan, prototype);NO;Visco;-;1993;
patapata;-;Pata Pata Panic;NO;Atlus;-;1993;
pclubys;-;Puzzle Club (Yun Sung, set 1);NO;Yun Sung;-;2000;
pdrift;-;Power Drift (World, Rev A);NO;Sega;-;1988;
penfan;-;Penfan Girls - Step1. Mild Mind (set 1);NO;Eolith;-;1999;
pgalvip;-;Pocket Gals V.I.P (set 1);NO;ACE International / Afega;-;1996;
pgm3in1;pgm;Photo Y2K 2 (3-in-1, V102, China);NO;IGS;-;2001;
pgmfrog;pgm;Frog Feast (PGM);NO;RasterSoft;-;2006;
pinkswts;-;Pink Sweets: Ibara Sorekara (2006/04/06 MASTER VER....);NO;Cave (AMI license);-;2006;
pitapat;-;Pitapat Puzzle;NO;F2 System;-;1997;
