name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
aurail1;Aurail (set 2, World, FD1089B 317-0168);1990;Sega / Westone;NO;aurail;YES;aurail;-
aurail1d;Aurail (set 2, World, FD1089B 317-0168 decrypted) [Bootleg];1990;Sega / Westone;NO;aurail;YES;aurail;-
aurailj;Aurail (set 1, Japan, FD1089A 317-0167);1990;Sega / Westone;NO;aurail;YES;aurail;-
aurailjd;Aurail (set 1, Japan, FD1089A 317-0167 decrypted) [Bootleg];1990;Sega / Westone;NO;aurail;YES;aurail;-
avefenix;Ave Fenix (Electrogame, Spanish bootleg of Phoenix);1980;bootleg (Video Game);NO;phoenix;YES;phoenix;-
avefenixl;Ave Fenix (Laguna, Spanish bootleg of Phoenix);1980;bootleg;NO;phoenix;YES;phoenix;-
avefenixrf;Ave Fenix (Recreativos Franco, Spanish bootleg of Phoenix);1981;bootleg (Recreativos Franco S.A.);NO;phoenix;YES;phoenix;-
avengers2;Avengers (US set 2);1987;Capcom;NO;avengers;YES;avengers;-
avspd;Alien vs Predator (940520 Euro Phoenix Edition) [Bootleg];1994;bootleg;NO;avsp;YES;avsp;-
avsph;Alien vs Predator (940520 Hispanic);1994;Capcom;NO;avsp;YES;avsp;-
b2b;Bang Bang Busters (2010 NCI release) [Prototype];2000;Visco;YES;neogeo;NO;-;-
backfire;Backfire! (set 1);1995;Data East Corporation;YES;-;NO;-;-
backfirt;Back Fire (Tecmo, bootleg);1988;Tecmo;YES;-;NO;-;-
bagmanm2;Bagman (bootleg on Moon Cresta hardware set 2) [Bootleg, Bad Colours];1982;Valadon Automation;NO;bagman;YES;bagman;-
bakatono;Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002);1991;Monolith Corp.;YES;neogeo;NO;-;-
ballboy;Ball Boy [Bootleg];2003;bootleg;NO;snowbro3;YES;snowbro3;-
bangbedp;Bang Bead (Prototype?) [Prototype];2000;Visco;NO;bangbead;YES;bangbead;-
baryon;Baryon - Future Assault (set 1);1997;SemiCom;YES;-;NO;-;-
baryona;Baryon - Future Assault (set 2);1997;SemiCom;NO;baryon;YES;baryon;-
batcird;Battle Circuit (970319 Euro Phoenix Edition) [Bootleg];1997;bootleg;NO;batcir;YES;batcir;-
batlbubl;Battle Bubble (v2.00);1999;Banpresto (Limenko license?);NO;bangball;YES;bangball;-
batriderc;Armed Police Batrider (China) (Fri Feb 13 1998);1998;Raizing / 8ing;NO;batrider;YES;batrider;-
batriderhk;Armed Police Batrider - A Version (Hong Kong) (Mon Dec 22 1997);1998;Raizing / 8ing;NO;batrider;YES;batrider;-
batriderj;Armed Police Batrider - B Version (Japan) (Fri Feb 13 1998);1998;Raizing / 8ing;NO;batrider;YES;batrider;-
